Tank Type	Tank Facility ID	Tank Owner ID	Tank Number	Install Date	Tank Status	Foundation Type Concrete Coating/RPB	Foundation Type Concrete	Foundation Type Steel/Saddle/Runner/Beam	Foundation Type Earthen	Foundation Type Ring Wall	Foundation Type Unknown	Foundation Type Other	Foundation Type Other Specify	Roof Type N/A Horizontal Tank	Roof Type Floating	Roof Type Fixed Cone-Welded/Bolted	Roof Type Other	Roof Type Other Specify						
AST	1000117	34143	1	2/1/1992	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	Y	None						
AST	1000117	34143	2	2/1/1992	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	Y	None						
AST	1000117	34143	3	12/1/1991	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	Y	None						
AST	1000117	34143	4	10/1/1992	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	Y	None						
AST	1000117	34143	5B	10/1/2011	DISMANTLED	N	N	N	Y	N	N	N		Y	N	N	N							
AST	1000117	34143	5D	7/1/1984	DISMANTLED	N	N	N	Y	N	N	N		N	N	N	Y	None						
AST	1000117	34143	6B	10/1/2011	PERM OUT OF USE	N	N	N	Y	N	N	N		N	N	N	Y	None						
AST	1000117	34143	6D	7/1/1984	DISMANTLED	N	N	N	Y	N	N	N		N	N	N	Y	None						
AST	1000146	32400	4	9/1/1992	CURR IN USE	Y	N	N	N	N	N	Y	Ring Wall	N	N	Y	N							
AST	1000146	32400	5	9/1/1992	CURR IN USE	Y	N	N	N	N	N	Y	Ring Wall	N	N	Y	N							
AST	1000220	33462	116		CURR IN USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1000220	33462	117		CURR IN USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1000220	33462	12		CURR IN USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1000220	33462	16		CURR IN USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1000220	33462	17		CURR IN USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1000220	33462	79		CURR IN USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1000220	34574	1		CURR IN USE	N	N	N	Y	N	N	N		N	N	N	Y	NONE						
AST	1000296	46174	1	11/1/1984	CURR IN USE	N	N	N	N	N	N	Y	Wooden Saddle	N	N	N	Y	None						
AST	1000296	46174	2		CURR IN USE	N	N	N	Y	N	N	N		N	N	N	Y	None						
AST	1000297	42663	1	5/1/1992	CURR IN USE	N	Y	N	N	N	N	N		N	N	Y	N							
AST	1000298	34574	1	11/1/1984	CURR IN USE	N	N	N	Y	N	N	N		N	N	N	Y	STEEL						
AST	1000301	49046	1	9/24/2011	CURR IN USE	Y	N	N	Y	N	N	N		N	N	N	N							
AST	1000301	49046	2	7/14/2010	CURR IN USE	Y	N	N	N	N	N	N		N	N	N	Y	None - Horizontal Tank						
AST	1000302	34574	1	11/1/1984	CURR IN USE	N	N	N	Y	N	N	N		N	N	N	Y							
AST	1000305	47884	6	11/1/1981	CURR IN USE	Y	N	N	N	N	N	N		N	N	N	N							
AST	1000310	34574	1	1/1/1984	CURR IN USE	N	N	N	Y	N	N	N		N	N	N	Y							
AST	1000311	34574	1		DISMANTLED	N	Y	N	N	N	N	N		N	N	N	N							
AST	1000311	34574	2		DISMANTLED	N	Y	N	N	N	N	N		N	N	N	N							
AST	1000311	34574	3		DISMANTLED	N	Y	N	N	N	N	N		N	N	N	Y							
AST	1000311	34574	4		DISMANTLED	N	Y	N	N	N	N	N		N	N	N	Y							
AST	1000311	34574	5		DISMANTLED	N	Y	N	N	N	N	N		N	N	N	Y							
AST	1000311	34574	6		DISMANTLED	N	Y	N	N	N	N	N		N	N	N	Y	STEEL ONLY						
AST	1000316	45744	1	10/17/1989	CURR IN USE	N	N	N	Y	N	N	N		N	N	N	Y							
AST	1000320	31049	4		CURR IN USE	N	N	N	N	N	N	N		N	N	N	N							
AST	1000320	46975	1	11/1/1985	DISMANTLED	N	N	N	Y	N	N	N		N	N	N	Y	Steel						
AST	1000320	46975	2	11/1/1985	DISMANTLED	N	N	N	Y	N	N	N		N	N	N	Y	Steel						
AST	1000320	46975	3	11/1/1985	DISMANTLED	N	N	N	Y	N	N	N		N	N	N	Y	Horizontal						
AST	1000321	34574	1	11/20/1984	CURR IN USE	N	N	N	Y	N	N	N		N	N	N	Y							
AST	1000323	29364	6	6/6/1987	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	Y							
AST	1000352	30280	1	2/19/1971	CURR IN USE	N	N	N	N	N	N	N		N	N	N	N							
AST	1000352	42012	1	1/1/1990	CURR IN USE	N	N	N	N	N	N	N		N	N	N	N							
AST	1000395	35380	A405	1/1/1985	CURR IN USE	N	N	Y	N	N	N	N		N	N	N	Y							
AST	1000395	35380	T2	8/1/1997	CURR IN USE	N	N	N	N	N	N	N		N	N	N	N							
AST	1000395	35380	T3	8/1/1997	CURR IN USE	N	N	N	N	N	N	N		N	N	N	N							
AST	1000395	35380	T4	8/1/1997	CURR IN USE	N	N	N	N	N	N	N		N	N	N	N							
AST	1000395	35380	T5	8/1/1997	CURR IN USE	N	N	N	N	N	N	N		N	N	N	N							
AST	1000395	35380	T6	8/1/1997	CURR IN USE	N	N	N	N	N	N	N		N	N	N	N							
